Date,Open,High,Low,Close,Adj Close,Volume
2021-05-26,41.380001,43.200001,41.380001,42.549999,42.076656,4617220
2021-05-27,42.750000,43.709999,42.110001,43.240002,42.758980,9496829
2021-05-28,43.590000,43.590000,42.369999,43.290001,42.808426,4907601
2021-05-31,42.720001,44.000000,42.720001,43.849998,43.362190,1622745
2021-06-01,43.860001,44.500000,43.490002,43.560001,43.075420,1926263
2021-06-02,43.730000,44.470001,43.580002,43.689999,43.203972,3784048
2021-06-03,43.619999,44.450001,43.619999,44.200001,43.708302,2952584
2021-06-04,44.299999,44.299999,43.580002,43.750000,43.263306,2480587
2021-06-07,43.730000,44.540001,43.259998,44.259998,43.767632,3129636
2021-06-08,44.270000,45.389999,44.009998,45.270000,44.766396,3206201
2021-06-09,45.070000,45.580002,44.630001,45.250000,44.746620,1814029
2021-06-10,45.389999,45.799999,44.599998,44.740002,44.242294,1666830
2021-06-11,44.930000,44.959999,44.160000,44.500000,44.004963,1268571
2021-06-14,44.320000,45.299999,44.299999,44.630001,44.133518,1097699
2021-06-15,44.849998,45.270000,44.400002,44.810001,44.311516,1563036
2021-06-16,43.900002,45.090000,43.900002,44.880001,44.380737,1704566
2021-06-17,45.000000,45.220001,43.830002,44.020000,43.530304,1595703
2021-06-18,44.029999,44.279999,43.400002,44.169998,43.678631,5540202
2021-06-21,44.200001,44.389999,43.020000,43.810001,43.322639,1995991
2021-06-22,43.860001,44.090000,43.119999,43.840000,43.352306,1358705
2021-06-23,43.619999,44.270000,43.270000,43.419998,42.936974,1533292
2021-06-24,43.470001,44.400002,43.250000,43.939999,43.451191,1714711
2021-06-25,43.790001,44.430000,43.369999,43.830002,43.342419,1928453
2021-06-28,43.939999,43.959999,43.299999,43.650002,43.164421,853696
2021-06-29,43.430000,44.200001,43.330002,43.660000,43.174309,1458788
2021-06-30,43.779999,44.080002,43.400002,43.889999,43.401749,1934933
2021-07-01,43.950001,44.150002,43.459999,43.770000,43.283085,682541
2021-07-02,43.630001,44.150002,43.299999,43.380001,42.897423,663079
2021-07-05,43.580002,44.439999,43.500000,43.810001,43.322639,399346
2021-07-06,43.970001,43.990002,43.000000,43.639999,43.154530,1318495
2021-07-07,43.799999,45.389999,43.369999,45.189999,44.687286,2877683
2021-07-08,44.959999,45.209999,44.200001,44.360001,43.866520,1686600
2021-07-09,44.200001,45.250000,44.200001,45.130001,44.627956,4045741
2021-07-12,45.130001,45.660000,44.549999,44.619999,44.123627,1032394
2021-07-13,44.790001,45.110001,44.000000,44.240002,43.747856,1494300
2021-07-14,44.230000,44.230000,43.020000,43.619999,43.134750,2391207
2021-07-15,43.910000,45.880001,43.700001,45.139999,44.637844,2651777
2021-07-16,45.200001,46.000000,44.509998,44.869999,44.370846,1201506
2021-07-19,44.599998,45.169998,43.070000,44.840000,44.341179,4607010
2021-07-20,45.040001,45.040001,43.500000,43.740002,43.253418,801060
2021-07-21,43.980000,44.590000,43.820000,44.419998,43.925850,770357
2021-07-22,44.419998,45.060001,44.070000,44.790001,44.291737,844150
2021-07-23,44.779999,44.889999,44.299999,44.790001,44.291737,303862
2021-07-26,44.750000,45.930000,44.750000,45.340000,44.835617,1283770
2021-07-27,45.020000,45.900002,45.000000,45.669998,45.161945,1177649
2021-07-28,45.259998,45.639999,44.529999,45.060001,44.558735,910871
2021-07-29,45.630001,47.480000,45.630001,46.740002,46.220047,3093645
2021-07-30,46.560001,46.840000,45.160000,45.880001,45.369614,2179226
2021-08-02,46.200001,49.049999,46.200001,47.709999,47.179253,2635912
2021-08-03,47.580002,48.680000,47.180000,48.330002,47.792358,2696378
2021-08-04,48.580002,49.250000,47.889999,48.750000,48.207684,2418513
2021-08-05,48.610001,49.160000,48.020000,48.400002,47.861580,1827915
2021-08-06,48.200001,49.240002,48.099998,49.000000,48.454903,3115672
2021-08-09,49.220001,49.599998,49.000000,49.439999,48.890007,1666394
2021-08-10,49.599998,49.840000,49.000000,49.160000,48.613121,893180
2021-08-11,49.220001,49.889999,48.880001,49.689999,49.137226,1729939
2021-08-12,49.570000,49.660000,48.849998,48.950001,48.405460,2956748
2021-08-13,49.040001,49.410000,48.450001,48.889999,48.346127,2376505
2021-08-16,48.099998,49.900002,48.099998,49.630001,49.077896,1542843
2021-08-17,49.599998,51.590000,49.500000,51.430000,50.857872,3461749
2021-08-18,51.500000,53.500000,50.639999,50.990002,50.422768,23647418
2021-08-19,51.169998,51.169998,49.180000,49.810001,49.255894,3643167
2021-08-20,50.029999,50.980000,49.490002,49.820000,49.265781,1660919
